# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2024-03-12T09:24:14   112863  SEQ        Calibration  Cal         RU-Her                    2024-S1-MX-35                   86.2434   -13       5.0  242.560472  25.070640   72.1  62.7  239.76 0
2024-03-12T09:24:46   112864  SEQ        Pointing     Map(Az/D)   RU-Her                    2024-S1-MX-35                   86.2434   -13     144.6  242.560472  25.070640   72.0  63.0  239.76 0
2024-03-12T09:29:49   112865  SEQ        Calibration  Cal         TYC_2597_735_1            2024-S1-MX-35                  115.3000     9       5.6  252.155833  35.202611   55.9  53.8  0 0
2024-03-12T09:30:27   112866  SEQ        Science      Map(Ra/C)   TYC_2597_735_1            2024-S1-MX-35                  115.3000     9    1313.3  252.155833  35.202611   55.8  53.9  0 0
2024-03-12T10:01:57   112867  SEQ        Science      Map(Dec/C)  TYC_2597_735_1            2024-S1-MX-35                  115.3000     9    1313.5  252.155833  35.202611   51.6  60.0  0 0
2024-12-05T03:46:36   124676  SEQ        Calibration  Cal         IRC+10523                 2024-S1-MX-35                   86.2434     2       5.5  343.547515   8.902048  265.5  41.0  239.76 0
2024-12-05T03:47:14   124677  SEQ        Pointing     Map(Az/D)   IRC+10523                 2024-S1-MX-35                   86.2434     2     143.3  343.547515   8.902048  265.6  40.6  239.76 0
2024-12-05T03:56:14   124678  SEQ        Calibration  Cal         BP_Psc                    2024-S1-MX-35                  115.3000   -15       5.0  350.602917  -2.228167  249.4  41.1  0 0
2024-12-05T03:56:57   124679  SEQ        Science      Map(Dec/C)  BP_Psc                    2024-S1-MX-35                  115.3000   -15     879.2  350.602917  -2.228167  249.8  40.6  0 0
2024-12-05T04:18:10   124680  SEQ        Calibration  Cal         BP_Psc                    2024-S1-MX-35                  115.3000   -15       5.2  350.602917  -2.228167  252.7  35.9  0 0
2024-12-05T04:18:56   124681  SEQ        Science      Map(Dec/C)  BP_Psc                    2024-S1-MX-35                  115.3000   -15     879.1  350.602917  -2.228167  252.9  35.7  0 0
2024-12-05T04:40:04   124682  SEQ        Calibration  Cal         BP_Psc                    2024-S1-MX-35                  115.3000   -15       5.1  350.602917  -2.228167  255.5  30.9  0 0
2024-12-05T04:40:44   124683  SEQ        Science      Map(Dec/C)  BP_Psc                    2024-S1-MX-35                  115.3000   -15     879.4  350.602917  -2.228167  255.6  30.7  0 0
2024-12-05T05:02:00   124684  SEQ        Calibration  Cal         IRC+10523                 2024-S1-MX-35                   86.2434     2       5.2  343.547515   8.902048  272.0  22.9  239.76 0
2024-12-05T05:02:40   124685  SEQ        Pointing     Map(Az/D)   IRC+10523                 2024-S1-MX-35                   86.2434     2     142.2  343.547515   8.902048  272.1  22.7  239.76 0
